,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
32895,Harold & Kumar Escape from Guantanamo Bay,6.6,104.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,43353117,2008-04-25,17.584889184786498,False
32921,Miss Potter,6.9,88.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,35891257,2006-12-29,17.39600431405589,False
32922,The Prestige,8.5,130.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40000000,104407366,2006-10-20,18.46381079605731,True
32923,Pride and Glory,6.6,130.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30000000,43440721,2008-10-24,17.586907854077985,False
32925,Shutter,5.2,85.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8000000,47782426,2008-03-21,17.682168493883747,False
32927,Space Chimps,4.5,81.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000000,67029956,2008-07-18,18.02065019683013,False
32928,The Strangers,6.2,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9000000,83051676,2008-05-30,18.234973586474737,False
32945,Doomsday,6.0,108.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,33000000,21621188,2008-03-14,16.8891843640378,False
32950,Man of the Year,6.2,115.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20000000,41342180,2006-10-13,17.537393868446,False
32970,The Good Night,5.8,93.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15000000,22441,2007-10-05,10.018689482224811,False
32985,Love in the Time of Cholera,6.4,139.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45000000,31077418,2007-11-16,17.251992036257352,False
33022,Red Tails,5.9,125.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58000000,50365498,2012-01-20,17.734816954983817,False
33029,American Teen,6.4,95.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,989319,2008-07-25,13.804773117421533,False
